relative_path,extension,size_bytes,sha256,category,likely_owner,generated_or_source,sensitive_risk,notes
.dev-3005.err.log,.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,other,unknown,source,low,runtime-log
.dev-3005.out.log,.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,other,unknown,source,low,runtime-log
.env,,466,3e5a6d4a1b1e65f93af3d9c327140b2a10774ca1843fe279a66795c96f2d4f6b,other,unknown,source,low,
.env.example,.example,466,3e5a6d4a1b1e65f93af3d9c327140b2a10774ca1843fe279a66795c96f2d4f6b,other,unknown,source,low,example-config
.env.production.example,.example,631,3786562eae29fbeff0d711522f549f38a2b769ec05bde3aeb225f7bf41f4446e,other,unknown,source,low,example-config
.github/workflows/smoke.yml,.yml,1159,50c1c2ef7e5ef10760b9e863717c3d9d4507d9902b96f08b52d7e220daed2d1a,ci-config,ops,source,low,
.gitignore,,9,319c3304702d205b9fba52d0f12ce3d388bacdade80ad223c550935fadaa20a6,config,ops,source,low,
.next-start-3001.err.log,.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,other,unknown,source,low,runtime-log
.next-start-3001.out.log,.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,other,unknown,source,low,runtime-log
.npmrc,,35,3b88d1057add6f92ec23dc22dd017e312ded13a042deb0ba6f08bad85d936456,config,ops,source,low,
.prettierrc,,147,3f404dc9257a4c559b1da9a8f85a4c930a72383b885b4327a319507b41b64482,config,ops,source,low,
.prod-3006.err.log,.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,other,unknown,source,low,runtime-log
.prod-3006.out.log,.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,other,unknown,source,low,runtime-log
.vscode/settings.json,.json,144,661f5c8fbc4235953c45b8a06691f9c93ad5bad457f11d62928516221be375cd,other,unknown,source,low,
AGENTS.md.txt,.txt,2705,8111349efd927fa8f19a12838148a11cd4b461b71372e3bcc8d11febc6483b5a,other,unknown,source,low,
README.md,.md,2071,86e57bbd10533517d8f8f39eb0f9f0968a1a8fee9f81b11b52f959d78cec387f,other,unknown,source,low,
app/about/page.tsx,.tsx,2081,728dc245e1c7142d286856ff6e9413536ae6038d894e9af0db2d9d1633b5e3d5,page,frontend,source,low,
app/admin/article-categories/page.tsx,.tsx,948,9f2b3839dc37fe5ae80552849592efc8f70eab4bd3dbe647f3826c1893493dac,page,frontend,source,low,
app/admin/articles/page.tsx,.tsx,1567,bba41eac189f963a1d0e780acf7463704e2f979acae87d1058cee253bbddf22f,page,frontend,source,low,
app/admin/cases/page.tsx,.tsx,1828,3c81559705ffc1bc752ae7bc02e66949269f2946f2137f17d3735f2429f2686e,page,frontend,source,low,
app/admin/downloads/page.tsx,.tsx,1439,7b2cc5886c2e059dcc0712cd4f9962689f483fc1e1d3b718f14e95ac533a72d9,page,frontend,source,low,
app/admin/faqs/page.tsx,.tsx,903,3e9a2ba5a90ac3e1161d732760cc72363bd115d489e93fbd438f775c0eb33ba0,page,frontend,source,low,
app/admin/leads/page.tsx,.tsx,262,431f5fd3bc61ecd5bf66766ec983219368047f941d12933ba266d04d20a1c578,page,frontend,source,low,
app/admin/login/page.tsx,.tsx,523,160c0e6b68a9923b9aaacf7fa3a2bfab0a4cb3ac96bc8602cda543575bd1d484,page,frontend,source,low,
app/admin/media/page.tsx,.tsx,283,a1766a8b9854fd5cfb4458410a6f0bbdefc6fd38ccceef32515e8f1122a8e242,page,frontend,source,low,
app/admin/page.tsx,.tsx,1449,c7b146622517caddf84045a728736f9c1ffdd411c034924353c81bd94f48a899,page,frontend,source,low,
app/admin/product-categories/page.tsx,.tsx,1270,bb83375d8244682f18cb012fb378e7e552acdd91957c9e7252ee1985cae572c3,page,frontend,source,low,
app/admin/products/page.tsx,.tsx,2819,f5f69aa81b692852b456cb181848524dab78ebc6620b2a0afbc3abe74109c986,page,frontend,source,low,
app/admin/settings/page.tsx,.tsx,1996,ca458e556f56be6993170dd98662ebf54db30350afbde1ccad379819e325d19b,page,frontend,source,low,
app/admin/solutions/page.tsx,.tsx,1718,3c82833757ee3ffd16fa1c890fd2c9ff8e4dede7642d03c3ec23c1f46ed48aad,page,frontend,source,low,
app/admin/videos/page.tsx,.tsx,1364,8cbe52e26b91e0c0cb0aa6a4b7c6efa046ad95099b4d2038e9614f99663cc2ac,page,frontend,source,low,
app/api/admin/article-categories/[id]/route.ts,.ts,1290,4d26337ac32c5cf329efa16b0e3abe2490dbff8fff6041681e64a91cf905a084,api-route,backend,source,medium,
app/api/admin/article-categories/route.ts,.ts,1115,5ad401b60b24c43248f169e5f480bab9c3f043234f018565435734939f088479,api-route,backend,source,medium,
app/api/admin/articles/[id]/route.ts,.ts,1816,1bab06bab3d39c905710c21843c3a9d8aa10d21106ab51c02c7c9ee9ce4523b0,api-route,backend,source,medium,
app/api/admin/articles/route.ts,.ts,1901,483658cf49fcddc8c9f3c881b7582b7b5dee098b27fa8d265b3606ac26093f13,api-route,backend,source,medium,
app/api/admin/cases/[id]/route.ts,.ts,1880,0ca110b662afa6927cc4b77aa0d81e96f6654fc36704a41878c5d835d5c1ccaa,api-route,backend,source,medium,
app/api/admin/cases/route.ts,.ts,1680,27a35c322206c5db5f6064f406667c4ff72b9a1f7d4fbd087c796c590097e85f,api-route,backend,source,medium,
app/api/admin/downloads/[id]/route.ts,.ts,1577,c8b4220f1178b166b7dbcc9d61ac3cb991b653ba4ddf6a0dc64a496262b49ef1,api-route,backend,source,medium,
app/api/admin/downloads/route.ts,.ts,1377,debd667483f4cfcd510c650f43f89efddffc02be3636abc0113a05c04e7d2b12,api-route,backend,source,medium,
app/api/admin/faqs/[id]/route.ts,.ts,1032,ff9ecae71c739c046a14fa777945763780665cb2853a4efae681f7a1b61e7d4d,api-route,backend,source,medium,
app/api/admin/faqs/route.ts,.ts,865,02721139ad7f7086e5bdd5dbff9b884839e6cc42b2ea8bb527e2c76f9532a9a1,api-route,backend,source,medium,
app/api/admin/leads/[id]/route.ts,.ts,547,f0e0fccdc95284e26556e7896a48f88985a35c5665f8169280bee5813a935e94,api-route,backend,source,medium,
app/api/admin/leads/route.ts,.ts,246,834e9b01e1fa6bffcc5a594a168f5fdeefd4a01777452b9acb95a59351d00c76,api-route,backend,source,medium,
app/api/admin/login/route.ts,.ts,776,99bd4c3534bd475ea409e6cdcb295e11f2cdee6b553b218bea4dcdeba39570d9,api-route,backend,source,medium,
app/api/admin/logout/route.ts,.ts,373,d08f313057d2693ab21959636b0c6a64ac32fbdad9a51b8c7b06c3b6a9bdc954,api-route,backend,source,medium,
app/api/admin/media/[id]/route.ts,.ts,1112,73c7b758dbe5d4d22486534c2e98b8853589b5f97891e985ea63d68ebfe95648,api-route,backend,source,medium,
app/api/admin/media/route.ts,.ts,906,aa26d30e3aa4122e8555fdc48ebd2823fa70ba43b77c173849b89d67f2a5ed71,api-route,backend,source,medium,
app/api/admin/product-categories/[id]/route.ts,.ts,1509,82ae0e770af5526018b0cd95860cc20382b91675869a83f4f9453973df541bbe,api-route,backend,source,medium,
app/api/admin/product-categories/route.ts,.ts,1334,66bc3fb314e1315e2055b50d4613b9e4ed1bf741ef49a3a4cb9434403cbb283c,api-route,backend,source,medium,
app/api/admin/products/[id]/route.ts,.ts,2639,9eef83329721656b1fb3b5b81afeb808487a60398497d989a9f4d0915e3e5332,api-route,backend,source,medium,
app/api/admin/products/route.ts,.ts,2735,3c3e90bd34dd11a1d3ed36d4f9e9562e65502c3108da4d03d869c2d2506553f6,api-route,backend,source,medium,
app/api/admin/settings/[id]/route.ts,.ts,1601,f886823419bff2c3ccb6c170f29e23bb3d46b2d41d52b07185e45f96a6c6140f,api-route,backend,source,medium,
app/api/admin/settings/route.ts,.ts,1810,551f5e9592b66cd02c724185c25b19ada49ecbf4ad0b8a38730fd550d0741c99,api-route,backend,source,medium,
app/api/admin/solutions/[id]/route.ts,.ts,1789,1a51877fd88694f14b6ec9217734d4d0c0c91720634a502ea9665ea93a57b690,api-route,backend,source,medium,
app/api/admin/solutions/route.ts,.ts,1589,cd34fcc8d0589e2301b89d0c2b3d583a22c13a9b3d3f4eacce8279669e646613,api-route,backend,source,medium,
app/api/admin/videos/[id]/route.ts,.ts,1552,bf968835349dea089f4d1120cb6010be82013007ea66e1d505073037677a7d3e,api-route,backend,source,medium,
